date,benchmark_close,market_regime,max_total_exposure,current_total_exposure,current_cash,effective_universe_size,holdings_count,decision_scope_size,candidates_seen,passed_base_filter_count,passed_bucket_filter_count,passed_valuation_filter_count,passed_quality_filter_count,passed_price_trigger_count,raw_buy_signal_count,unique_raw_buy_intent_count,repeated_blocked_buy_signal_count,raw_sell_signal_count,account_feasible_buy_signal_count,user_visible_buy_recommendation_count,user_visible_blocked_buy_count,pending_buy_intent_count,blocked_by_universe_count,blocked_by_market_regime_count,blocked_by_cash_count,blocked_by_cash_one_lot_count,blocked_by_position_limit_count,blocked_by_single_name_limit_count,blocked_by_min_trade_amount_count,blocked_by_lot_size_count,blocked_by_price_too_high_for_account_lot_count,blocked_by_price_too_high_for_remaining_capacity_count,blocked_by_lot_size_accumulation_required_count,blocked_by_existing_position_count,blocked_by_hard_add_ban_count,blocked_by_max_positions_count,blocked_by_daily_new_position_count,blocked_by_daily_add_count,blocked_by_unknown_count,executable_buy_count,executable_sell_count,executed_buy_count,executed_sell_count
2023-04-03,4090.5676,risk_on,0.95,0.0,200000.0,28,2,4821,4821,4820,1277,186,9,1977,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,2,0,2,0
2023-04-04,4103.1052,risk_on,0.95,0.06578662993215932,186795.4428209,28,2,4826,4826,4825,1277,216,14,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,0,0,0,0
2023-04-06,4096.64,neutral,0.7,0.06487933353395475,186795.4428209,28,3,4825,4825,4824,1276,231,16,2257,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,1,0,1,0
2023-04-07,4123.2799,risk_on,0.95,0.1058710868077177,178807.05602360002,28,3,4825,4825,4824,1276,200,12,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0
2023-04-10,4104.8118,risk_on,0.95,0.10622863279677278,178807.05602360002,28,3,4835,4835,4834,1279,206,12,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0
2023-04-11,4100.1479,neutral,0.7,0.105240215094548,178807.05602360002,28,3,4835,4835,4834,1279,205,12,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,0,0,0,0
2023-04-12,4097.2876,neutral,0.7,0.10537004156159314,178807.05602360002,28,4,4834,4834,4833,1278,198,12,2296,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,20,1,0,1,0
2023-04-13,4068.9786,neutral,0.7,0.1317114136114576,173510.82162980002,28,4,4835,4835,4834,1279,202,12,2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,20,0,0,0,0
2023-04-14,4091.9988,neutral,0.7,0.13268363033568606,173510.82162980002,28,5,4834,4834,4833,1279,202,12,2356,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,1,0,1,0
2023-04-17,4149.3836,risk_on,0.95,0.17583351950616008,165542.45083550003,28,5,4835,4835,4834,1280,174,9,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,0
2023-04-18,4162.032,risk_on,0.95,0.17820243180326328,165542.45083550003,28,5,4842,4842,4841,1281,174,10,2391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0
2023-04-19,4124.5589,risk_on,0.95,0.17740613394196544,165542.45083550003,28,5,4842,4842,4841,1281,183,10,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0
2023-04-20,4113.0192,risk_on,0.95,0.17817795331973074,165542.45083550003,28,5,4844,4844,4843,1281,178,9,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0
2023-04-21,4032.5672,neutral,0.7,0.1742136893951305,165542.45083550003,28,5,4843,4843,4842,1280,195,9,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0
2023-04-24,3982.6429,neutral,0.7,0.17233099498559926,165542.45083550003,28,6,4845,4845,4844,1281,224,11,3144,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,1,0,1,0
2023-04-25,3962.6658,neutral,0.7,0.2080778177907714,158161.54972925002,28,6,4846,4846,4845,1280,307,29,3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,0,0,0
2023-04-26,3959.2323,neutral,0.7,0.2079628105542124,158161.54972925002,28,6,4839,4839,4838,1279,350,27,3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,0,0,0
2023-04-27,3988.4185,neutral,0.7,0.2108043796388691,158161.54972925002,28,7,4839,4839,4838,1279,309,23,3292,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,1,0,1,0
2023-04-28,4029.0858,neutral,0.7,0.2531965285870916,150268.23894620003,28,7,4835,4835,4834,1278,287,17,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0
2023-05-04,4030.2471,neutral,0.7,0.2538862236773979,150268.23894620003,23,7,4826,4826,4825,1278,316,5,2933,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,0,0,0,0
2023-05-05,4016.8774,neutral,0.7,0.25567864491128345,150268.23894620003,23,8,4843,4843,4842,1281,324,5,3049,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,1,0,1,0
2023-05-08,4062.6624,neutral,0.7,0.28856968782393827,144667.76130680004,23,8,4844,4844,4843,1281,253,5,2976,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,0,0,0,0
2023-05-09,4027.8754,neutral,0.7,0.28656988629083613,144667.76130680004,23,8,4840,4840,4839,1281,287,6,3126,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,0,0,0,0
2023-05-10,3996.8695,neutral,0.7,0.28280668423625743,144667.76130680004,23,8,4843,4843,4842,1283,298,5,3089,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,0,0,0,0
2023-05-11,3990.6637,neutral,0.7,0.28164571487336354,144667.76130680004,23,8,4846,4846,4845,1283,295,6,2992,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,0,0,0,0
2023-05-12,3937.7622,neutral,0.7,0.2791616422712473,144667.76130680004,23,8,4848,4848,4847,1284,327,6,3095,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,22,0,0,0,0
