signal_date,fill_date,symbol,industry,bucket,action,fill_price,realized_pnl
2023-04-03,2023-04-04,600036.sh,银行,defensive_dividend,BUY_1,27.67383,0.0
2023-04-04,2023-04-06,601318.sh,非银金融,defensive_dividend,BUY_1,38.209095,0.0
2023-04-06,2023-04-07,600000.sh,银行,defensive_dividend,BUY_1,6.143069999999999,0.0
2023-04-12,2023-04-13,000877.sz,建筑材料,cyclical_rotation,BUY_1,8.82441,0.0
2023-04-14,2023-04-17,601166.sh,银行,defensive_dividend,BUY_1,13.276634999999999,0.0
2023-04-24,2023-04-25,600346.sh,石油石化,defensive_dividend,BUY_1,14.757375,0.0
2023-04-27,2023-04-28,601866.sh,交通运输,defensive_dividend,BUY_1,2.391195,0.0
2023-05-04,2023-05-05,002032.sz,家用电器,defensive_dividend,BUY_1,42.07102499999999,0.0
2023-05-25,2023-05-26,000877.sz,建筑材料,cyclical_rotation,SELL_ALL,7.806095,-204.9119752
2023-05-25,2023-05-26,601166.sh,银行,defensive_dividend,BUY_2,12.856425,0.0
2023-05-26,2023-05-29,600018.sh,交通运输,defensive_dividend,BUY_1,4.682339999999999,0.0
2023-09-01,2023-09-04,600346.sh,石油石化,cyclical_rotation,SELL_ALL,13.543225000000001,-122.49845799999973
2023-10-23,2023-10-24,601866.sh,交通运输,defensive_dividend,SELL_ALL,2.0789600000000004,-251.1185343999998
2023-11-21,2023-11-22,601018.sh,交通运输,cyclical_rotation,BUY_1,3.271635,0.0
2023-11-28,2023-11-29,600036.sh,银行,defensive_dividend,SELL_ALL,24.20789,-348.5306312000001
2023-12-20,2023-12-21,601018.sh,交通运输,cyclical_rotation,BUY_2,3.371685,0.0
2023-12-20,2023-12-21,601318.sh,非银金融,defensive_dividend,SELL_ALL,33.28335,-495.2371679999997
2023-12-27,2023-12-28,000333.sz,家用电器,defensive_dividend,BUY_1,46.513245,0.0
2024-02-08,2024-02-19,600018.sh,交通运输,cyclical_rotation,BUY_2,4.8924449999999995,0.0
2024-04-16,2024-04-17,000932.sz,钢铁,cyclical_rotation,BUY_1,5.12256,0.0
2024-05-09,2024-05-10,600018.sh,交通运输,defensive_dividend,REDUCE,5.3773100000000005,240.24926080000049
2024-06-17,2024-06-18,000932.sz,钢铁,cyclical_rotation,SELL_ALL,4.367815,-227.47177559999986
2024-07-24,2024-07-25,600989.sh,基础化工,cyclical_rotation,BUY_1,15.127559999999999,0.0
2024-07-30,2024-07-31,300628.sz,通信,defensive_dividend,BUY_1,31.005494999999996,0.0
2024-09-30,2024-10-08,601166.sh,银行,defensive_dividend,REDUCE,19.37031,1271.6637504000005
2024-11-07,2024-11-08,601018.sh,交通运输,defensive_dividend,REDUCE,3.7481250000000004,127.03994999999995
2025-03-14,2025-03-17,601166.sh,银行,defensive_dividend,SELL_ALL,20.219885,720.7214092000005
2025-03-17,2025-03-18,000001.sz,银行,defensive_dividend,BUY_1,10.92546,0.0
2025-05-13,2025-05-14,600000.sh,银行,defensive_dividend,SELL_ALL,11.57421,1626.5641896000006
2025-05-14,2025-05-15,002532.sz,有色金属,cyclical_rotation,BUY_1,7.44372,0.0
2025-09-01,2025-09-02,002532.sz,有色金属,cyclical_rotation,SELL_ALL,10.1949,548.6048160000001
2025-11-03,2025-11-04,600023.sh,公用事业,defensive_dividend,BUY_1,5.2226099999999995,0.0
2025-12-11,2025-12-12,600989.sh,基础化工,cyclical_rotation,SELL_ALL,17.741125,259.9372100000001
2025-12-16,2025-12-17,000921.sz,家用电器,defensive_dividend,BUY_1,25.8129,0.0
2026-02-27,2026-03-02,600018.sh,交通运输,cyclical_rotation,SELL_ALL,5.0574699999999995,84.31170719999996
2026-03-02,2026-03-03,600690.sh,家用电器,defensive_dividend,BUY_1,25.312649999999998,0.0
2026-03-03,2026-03-04,601018.sh,交通运输,defensive_dividend,SELL_ALL,4.167915,421.46033400000005
2026-03-04,2026-03-05,000921.sz,家用电器,defensive_dividend,SELL_ALL,22.968510000000002,-286.27648079999983
2026-03-27,2026-03-30,600690.sh,家用电器,defensive_dividend,SELL_ALL,21.739125,-359.0916299999995
